BankName,BankId,Currency,BuyRate,SellRate,BbBuyRate,BbSellRate
NRB Commercial Bank Ltd.,25,INR,,,1.1839,1.1842
Midland Bank Limited,19,INR,,,1.1839,1.1842
Modhumoti Bank Limited,20,INR,,,1.1839,1.1842
NRB Global Bank Limited,26,INR,,,1.1839,1.1842
Union Bank Limited,45,INR,,,1.1839,1.1842
Janata Bank Limited,57,INR,,,1.1839,1.1842
Social Islami Bank Ltd.,42,INR,,,1.1839,1.1842
National Bank of Pakistan,52,INR,,,1.1839,1.1842
SBACBL,30,CAD,,,62.9738,62.9927
NRB Bank Ltd.,24,CAD,,,62.9738,62.9927
The Farmers Bank Limited,34,CAD,,,62.9738,62.9927
Meghna Bank Ltd.,9,CAD,,,62.9738,62.9927
Agrani Bank Limited,58,CAD,,,62.9738,62.9927
Pubali Bank Limited,29,CAD,,,62.9738,62.9927
Rupali Bank Limited,59,CAD,,,62.9738,62.9927
Sonali Bank Limited,56,CAD,,,62.9738,62.9927
Uttara Bank Limited,38,CAD,,,62.9738,62.9927
Bangladesh Krishi Bank,63,CAD,,,62.9738,62.9927
BDBL,61,CAD,,,62.9738,62.9927
AB Bank Ltd.,13,CAD,,,62.9738,62.9927
The City Bank Ltd.,33,CAD,,,62.9738,62.9927
IFIC Bank Ltd.,16,CAD,,,62.9738,62.9927
Islami Bank Bangladesh Ltd.,39,CAD,,,62.9738,62.9927
National Bank Ltd.,22,CAD,,,62.9738,62.9927
United Commercial Bank Ltd.,37,CAD,,,62.9738,62.9927
Al-Arafa Islami Bank Ltd.,40,CAD,,,62.9738,62.9927
ICB Islamic Bank Ltd.,46,CAD,,,62.9738,62.9927
BASIC Bank Ltd.,60,CAD,,,62.9738,62.9927
South East Bank Ltd.,31,CAD,,,62.9738,62.9927
Dhaka Bank Ltd.,14,CAD,,,62.9738,62.9927
Eastern Bank Ltd.,11,CAD,,,62.9738,62.9927
Prime Bank Ltd.,28,CAD,,,62.9738,62.9927
NCCBL,23,CAD,,,62.9738,62.9927
Dutch-Bangla Bank Ltd.,15,CAD,,,62.9738,62.9927
Mercantile Bank Ltd.,18,CAD,,,62.9738,62.9927
Standard Bank Ltd.,32,CAD,,,62.9738,62.9927
One Bank Ltd.,27,CAD,,,62.9738,62.9927
EXIM Bank Ltd.,41,CAD,,,62.9738,62.9927
Bangladesh Commerce Bank Ltd.,12,CAD,,,62.9738,62.9927
Bank Asia Ltd.,10,CAD,,,62.9738,62.9927
The Premier Bank Ltd.,35,CAD,,,62.9738,62.9927
Mutual Trust Bank Ltd.,21,CAD,,,62.9738,62.9927
FSIBL,44,CAD,,,62.9738,62.9927
Trust Bank Ltd.,36,CAD,,,62.9738,62.9927
Standard Chartered Bank,53,CAD,,,62.9738,62.9927
Habib Bank Ltd.,50,CAD,,,62.9738,62.9927
